# Botanical Bed Builder - curated native plant table. EDIT THIS FILE to change plants.
# Pipe-delimited ("|"). Lines starting with # are comments. Read by build_data.py.
# regions: NE=Northeast/Mid-Atlantic SE=Southeast MW=Midwest/Great Lakes GP=Great Plains
#          TX=Texas/S-Central SW=Southwest desert MTN=Rockies/Intermountain
#          PNW=Pacific Northwest CA=California FL=Florida/subtropical
# light: S=full sun(6h+) P=part shade(3-6h) H=shade(<3h)   moist: D=dry M=average W=moist/wet
# layer: STRUCT=structural SEASONAL=seasonal-theme MATRIX=groundcover GRASS FERN SHRUB FILLER
# lep = approximate Lepidoptera species supported at GENUS level (NWF / Tallamy). Verify by county.
# sb  = Y if a documented pollen-specialist bee host (Fowler & Droege).
id|sci|common|family|regions|zmin|zmax|light|moist|hmin|hmax|spread|spacing|bloom_start|bloom_end|colors|layer|form|lep|sb|hosts|wildlife|notes
rudbeckia_hirta|Rudbeckia hirta|Black-eyed Susan|Asteraceae|NE,SE,MW,GP,TX,FL|3|9|S|D,M|18|36|18|15|6|9|yellow|FILLER|daisy|20|Y|Silvery Checkerspot|birdseed;winter_seedhead|Biennial or short-lived: treat it as a self-sowing filler that knits a young bed together.
rudbeckia_maxima|Rudbeckia maxima|Giant Coneflower|Asteraceae|SE,TX,GP|4|9|S|M|60|84|36|36|6|7|yellow|STRUCT|bold|20|Y||birdseed;winter_seedhead|Huge blue-grey paddle leaves plus 7 ft flower stems. A signature botanical-garden plant.
rudbeckia_subtomentosa|Rudbeckia subtomentosa|Sweet Coneflower|Asteraceae|MW,GP|4|8|S|M,W|48|72|30|30|8|10|yellow|SEASONAL|daisy|20|Y||birdseed;winter_seedhead|Late, airy and fragrant. The cultivar Henry Eilers has distinctive quilled rays.
heliopsis_helianthoides|Heliopsis helianthoides|Ox-eye Sunflower|Asteraceae|NE,SE,MW,GP,TX|3|9|S,P|D,M|36|60|30|24|6|9|yellow|SEASONAL|daisy|20|Y||birdseed|Very long bloom and tolerates clay. Cut back by half in June to limit height.
helianthus_mollis|Helianthus mollis|Downy Sunflower|Asteraceae|MW,GP,SE|4|9|S|D,M|36|48|24|30|8|9|yellow|SEASONAL|daisy|65|Y|Silvery Checkerspot;Painted Lady|birdseed;winter_seedhead|Velvety grey leaves. Rhizomatous: give it room or edge it with a mown strip.
helianthus_angustifolius|Helianthus angustifolius|Swamp Sunflower|Asteraceae|SE,FL,TX|5|9|S|M,W|60|96|36|36|9|11|yellow|STRUCT|bold|65|Y||birdseed;winter_seedhead|The latest sunflower: a wall of gold in October. Pinch in early summer for sturdier stems.
helianthus_divaricatus|Helianthus divaricatus|Woodland Sunflower|Asteraceae|NE,SE,MW|3|8|P,H|D,M|24|60|24|24|7|9|yellow|SEASONAL|daisy|65|Y||birdseed|One of very few sunflowers for dry part shade: excellent at a woodland edge.
silphium_terebinthinaceum|Silphium terebinthinaceum|Prairie Dock|Asteraceae|MW,NE,SE|4|8|S|D,M|72|108|36|36|7|9|yellow|STRUCT|bold|20|Y||birdseed;winter_seedhead|Enormous basal leaves like elephant ears, with flowers on nearly leafless 8 ft stalks.
silphium_laciniatum|Silphium laciniatum|Compass Plant|Asteraceae|MW,GP,TX|4|9|S|D,M|72|108|30|36|6|8|yellow|STRUCT|bold|20|Y||birdseed;winter_seedhead|Deeply cut leaves orient north-south. A taproot to 14 ft makes it extremely drought proof.
silphium_perfoliatum|Silphium perfoliatum|Cup Plant|Asteraceae|NE,MW,SE|4|8|S,P|M,W|60|96|36|42|7|9|yellow|STRUCT|bold|20|Y||birdseed|Fused leaves hold rainwater that birds drink. Self-sows freely: deadhead in small beds.
ratibida_pinnata|Ratibida pinnata|Gray-headed Coneflower|Asteraceae|NE,MW,GP,TX|3|8|S|D,M|36|60|24|24|6|8|yellow|SEASONAL|daisy|15|Y||birdseed;winter_seedhead|Anise-scented seedheads. Airy enough to weave between stiffer plants.
ratibida_columnifera|Ratibida columnifera|Mexican Hat|Asteraceae|GP,TX,SW,MTN|4|9|S|D|18|30|18|15|6|9|yellow-red|FILLER|daisy|15|Y||deer_resistant;winter_seedhead|Short lived but reseeds. Reads as a cloud of tiny sombreros in dry beds.
liatris_spicata|Liatris spicata|Marsh Blazing Star|Asteraceae|NE,SE,MW|3|9|S|M,W|24|48|12|12|7|9|purple|SEASONAL|spike|10|Y|Liatris Flower Moth|birdseed;deer_resistant|Plant in drifts of seven or more: single corms read as stray bottle brushes.
liatris_aspera|Liatris aspera|Rough Blazing Star|Asteraceae|MW,GP,NE,SE|3|8|S|D|24|48|12|15|8|10|purple|SEASONAL|spike|10|Y|Liatris Flower Moth|birdseed;deer_resistant|Button-like heads spaced along the stem. The best liatris for sand and gravel.
liatris_punctata|Liatris punctata|Dotted Blazing Star|Asteraceae|GP,SW,MTN,TX|3|9|S|D|12|24|12|12|8|10|purple|SEASONAL|spike|10|Y||deer_resistant|Shortgrass-prairie species with a 15 ft taproot. Ideal for hot dry hellstrips.
liatris_microcephala|Liatris microcephala|Small-head Blazing Star|Asteraceae|SE|5|8|S|D|12|18|12|12|8|9|purple|MATRIX|fine|10|Y||deer_resistant|Threadlike foliage forms a neat tuft: a refined front-of-bed liatris.
monarda_fistulosa|Monarda fistulosa|Wild Bergamot|Lamiaceae|NE,SE,MW,GP,TX,MTN,PNW|3|9|S,P|D,M|24|48|24|24|6|8|lavender|SEASONAL|mound|7|Y|Hermit Sphinx;Raspberry Pyrausta|hummingbird;deer_resistant|A magnet for bumblebees and hummingbird clearwing moths. Give it airflow to limit mildew.
monarda_didyma|Monarda didyma|Scarlet Beebalm|Lamiaceae|NE,SE,MW|4|9|S,P|M,W|30|48|30|24|6|8|red|SEASONAL|mound|7|Y|Hermit Sphinx|hummingbird|The best red for hummingbirds in moist part shade. Spreads by stolons.
monarda_bradburiana|Monarda bradburiana|Eastern Beebalm|Lamiaceae|MW,SE|4|8|S,P|D,M|12|24|24|18|5|6|pale pink|SEASONAL|mound|7|Y||deer_resistant|Earliest, shortest and tidiest beebalm, with good mildew resistance and red fall colour.
monarda_punctata|Monarda punctata|Spotted Beebalm|Lamiaceae|NE,SE,MW,TX,FL|3|9|S|D|12|36|18|18|7|9|cream-purple|SEASONAL|spike|7|Y||deer_resistant|Tiered pagoda bracts. A top plant for solitary wasps and specialist bees in sand.
pycnanthemum_muticum|Pycnanthemum muticum|Blunt Mountain Mint|Lamiaceae|NE,SE,MW|4|8|S,P|M|24|36|30|24|7|9|silver-white|MATRIX|mound|5||Gray Marvel Moth|deer_resistant|Silvery bracts and the heaviest insect traffic of any eastern perennial. Rhizomatous.
pycnanthemum_tenuifolium|Pycnanthemum tenuifolium|Slender Mountain Mint|Lamiaceae|NE,SE,MW,GP|4|8|S|D,M|18|30|24|18|7|9|white|MATRIX|fine|5||Gray Marvel Moth|deer_resistant|A cloud of fine texture, better behaved than P. muticum in small beds.
penstemon_digitalis|Penstemon digitalis|Foxglove Beardtongue|Plantaginaceae|NE,SE,MW,GP|3|8|S,P|D,M|24|48|18|18|5|7|white|SEASONAL|spike|8|Y||hummingbird;winter_seedhead|Near-evergreen rosette, red-tinted in Husker Red. Mahogany seed spikes persist into winter.
penstemon_hirsutus|Penstemon hirsutus|Hairy Beardtongue|Plantaginaceae|NE,MW|3|8|S,P|D|12|24|15|12|5|6|pale violet|MATRIX|spike|8|Y||deer_resistant|Compact and drought tough: good on rock ledges and in gravel gardens.
veronicastrum_virginicum|Veronicastrum virginicum|Culver's Root|Plantaginaceae|NE,SE,MW,GP|3|8|S,P|M,W|36|60|24|24|6|8|white|STRUCT|spike|5|||deer_resistant;winter_seedhead|Candelabra spires with whorled leaves: the classic vertical for a naturalistic border.
eutrochium_purpureum|Eutrochium purpureum|Sweet Joe Pye Weed|Asteraceae|NE,SE,MW|4|8|S,P|M|48|84|36|36|7|9|dusty pink|STRUCT|bold|40|Y|Clymene Moth;Ruby Tiger Moth|birdseed|Tolerates drier shade than the other Joe Pyes. Domed heads swarm with butterflies.
eutrochium_maculatum|Eutrochium maculatum|Spotted Joe Pye Weed|Asteraceae|NE,MW,MTN,PNW|3|8|S,P|M,W|48|84|36|36|7|9|purple-pink|STRUCT|bold|40|Y|Clymene Moth|birdseed|For rain gardens and pond edges. The cultivar Gateway is a sturdier 5 ft form.
vernonia_noveboracensis|Vernonia noveboracensis|New York Ironweed|Asteraceae|NE,SE|5|9|S,P|M,W|48|84|36|36|8|9|violet|STRUCT|bold|20|Y||birdseed|Intense violet in late summer, superb against yellow Helianthus and Solidago.
vernonia_lettermannii|Vernonia lettermannii|Threadleaf Ironweed|Asteraceae|MW,TX,GP|4|9|S|D,M|24|36|30|24|8|10|violet|SEASONAL|fine|20|Y||deer_resistant|Willowy needle foliage all season. Iron Butterfly is the common selection.
solidago_speciosa|Solidago speciosa|Showy Goldenrod|Asteraceae|NE,SE,MW,GP|3|8|S|D,M|24|48|18|18|8|10|yellow|SEASONAL|spike|110|Y|Brown-hooded Owlet;Goldenrod Gall Moth|birdseed;winter_seedhead|Clump forming, not running: the goldenrod for a designed bed. A keystone genus.
solidago_rugosa|Solidago rugosa|Rough-stemmed Goldenrod|Asteraceae|NE,SE,MW|3|9|S,P|M,W|36|60|36|30|8|10|yellow|SEASONAL|arching|110|Y|Brown-hooded Owlet|birdseed;winter_seedhead|The cultivar Fireworks sprays horizontally. A keystone genus for Lepidoptera.
solidago_nemoralis|Solidago nemoralis|Gray Goldenrod|Asteraceae|NE,SE,MW,GP|3|9|S|D|12|24|12|15|8|10|yellow|MATRIX|spike|110|Y||birdseed;winter_seedhead|Tiny, grey and tough. Thrives where nothing else will, including pure sand.
solidago_caesia|Solidago caesia|Blue-stemmed Goldenrod|Asteraceae|NE,SE,MW|4|8|P,H|D,M|18|36|24|18|8|10|yellow|SEASONAL|arching|110|Y||birdseed|Arching blue-purple stems with flowers in the leaf axils. A true shade goldenrod.
solidago_flexicaulis|Solidago flexicaulis|Zigzag Goldenrod|Asteraceae|NE,SE,MW|3|8|P,H|M|18|36|24|18|8|10|yellow|MATRIX|arching|110|Y||birdseed|Spreads gently into a groundcover in dry woodland shade. Broad toothed leaves.
oligoneuron_rigidum|Solidago rigida|Stiff Goldenrod|Asteraceae|NE,MW,GP,TX|3|9|S|D,M|36|60|24|24|8|10|yellow|SEASONAL|flat|110|Y||birdseed;winter_seedhead|Flat-topped heads and paddle leaves. Reliably upright, superb seed for juncos.
symphyotrichum_novae_angliae|Symphyotrichum novae-angliae|New England Aster|Asteraceae|NE,MW,GP|3|8|S|M,W|36|72|30|30|8|10|purple|SEASONAL|daisy|100|Y|Pearl Crescent;Wavy-lined Emerald|birdseed|Cut back by half in June for a self-supporting dome. A keystone genus.
symphyotrichum_oblongifolium|Symphyotrichum oblongifolium|Aromatic Aster|Asteraceae|NE,SE,MW,GP,TX|3|8|S|D|18|36|36|24|9|11|blue-violet|SEASONAL|mound|100|Y|Pearl Crescent|birdseed;deer_resistant|The latest and most drought tolerant aster: a neat blue cushion in October.
symphyotrichum_laeve|Symphyotrichum laeve|Smooth Blue Aster|Asteraceae|NE,SE,MW,GP,MTN|3|8|S|D,M|24|48|24|24|8|10|light blue|SEASONAL|daisy|100|Y|Pearl Crescent|birdseed|Smooth blue-green foliage resists mildew. Bluebird is a strong selection.
symphyotrichum_cordifolium|Symphyotrichum cordifolium|Heart-leaved Aster|Asteraceae|NE,SE,MW|3|8|P,H|D,M|24|48|24|24|9|10|pale blue|SEASONAL|airy|100|Y|Pearl Crescent|birdseed|A haze of pale blue in woodland shade when almost nothing else is flowering.
symphyotrichum_ericoides|Symphyotrichum ericoides|Heath Aster|Asteraceae|NE,MW,GP,TX,MTN|3|8|S|D|12|36|24|18|9|10|white|MATRIX|fine|100|Y|Pearl Crescent|birdseed|Fine heather-like texture smothered in tiny white daisies. Snow Flurry is a mat form.
symphyotrichum_lateriflorum|Symphyotrichum lateriflorum|Calico Aster|Asteraceae|NE,SE,MW|3|8|P,H|M|24|40|30|24|9|10|white|SEASONAL|airy|100|Y|Pearl Crescent|birdseed|Dark foliage in Lady in Black. Horizontal branching fills gaps at woodland edges.
eurybia_divaricata|Eurybia divaricata|White Wood Aster|Asteraceae|NE,SE,MW|3|8|P,H|D,M|12|24|24|18|8|10|white|MATRIX|airy|100|Y|Pearl Crescent|birdseed;deer_resistant|The best flowering groundcover for dry shade under trees. Spreads politely.
coreopsis_verticillata|Coreopsis verticillata|Threadleaf Coreopsis|Asteraceae|NE,SE,MW|3|9|S|D,M|18|30|24|18|6|9|yellow|MATRIX|fine|10|Y||deer_resistant|A fine-textured mat, extremely long blooming. Shear lightly after the first flush.
coreopsis_lanceolata|Coreopsis lanceolata|Lanceleaf Coreopsis|Asteraceae|NE,SE,MW,GP,TX|3|9|S|D|18|30|18|15|5|7|yellow|FILLER|daisy|10|Y||birdseed|Early, cheerful and short lived. Lets you fill a new bed cheaply from seed.
coreopsis_tripteris|Coreopsis tripteris|Tall Coreopsis|Asteraceae|NE,SE,MW,GP|3|8|S,P|M|60|96|30|30|7|9|yellow|STRUCT|airy|10|Y||birdseed|Eight feet of bamboo-like stem topped with small daisies: see-through height at the back.
coreopsis_palmata|Coreopsis palmata|Prairie Coreopsis|Asteraceae|MW,GP|3|8|S|D,M|18|30|18|18|6|7|yellow|MATRIX|stiff|10|Y||deer_resistant|Stiff three-lobed leaves make a tidy rhizomatous colony. Very drought proof.
dalea_purpurea|Dalea purpurea|Purple Prairie Clover|Fabaceae|MW,GP,TX,NE,SW|3|9|S|D,M|18|30|18|15|6|8|magenta|SEASONAL|thimble|6|Y|Southern Dogface;Reakirt's Blue|deer_resistant;nfix|A nitrogen fixer with fine ferny leaves and glowing magenta thimbles. Bee gold.
dalea_candida|Dalea candida|White Prairie Clover|Fabaceae|MW,GP,TX|3|9|S|D,M|18|36|15|15|6|8|white|SEASONAL|thimble|6|Y|Southern Dogface|deer_resistant;nfix|The cool white counterpart to D. purpurea. Both excel in lean gravelly soil.
amorpha_canescens|Amorpha canescens|Leadplant|Fabaceae|MW,GP,TX,NE|2|9|S|D|24|36|30|30|6|7|violet-orange|SHRUB|fine|10|Y|Southern Dogface|deer_resistant;nfix|A subshrub with silver-grey ferny foliage and violet spikes with orange anthers.
astragalus_canadensis|Astragalus canadensis|Canada Milkvetch|Fabaceae|NE,MW,GP,MTN|3|8|S,P|M|24|48|24|24|6|8|cream|SEASONAL|spike|8||Silvery Blue|nfix|A robust legume for restoration-style plantings. Spreads by rhizome in good soil.
lespedeza_capitata|Lespedeza capitata|Round-headed Bush Clover|Fabaceae|NE,SE,MW,GP|3|9|S|D,M|24|48|24|24|8|9|cream|STRUCT|spike|30||Eastern Tailed-Blue;Silver-spotted Skipper|birdseed;winter_seedhead;nfix|Silvery buttons turn rich brown and hold all winter. Quail and sparrow seed.
baptisia_bracteata|Baptisia bracteata|Cream Wild Indigo|Fabaceae|MW,GP,SE|4|9|S|D,M|18|30|30|30|4|5|cream|SEASONAL|arching|10||Wild Indigo Duskywing|deer_resistant;nfix|Low arching sprays of cream flowers in mid-spring, long before other prairie plants.
eryngium_yuccifolium|Eryngium yuccifolium|Rattlesnake Master|Apiaceae|NE,SE,MW,GP,TX|4|9|S|D,M|36|60|24|24|7|9|silver-green|STRUCT|spiky|5|||deer_resistant;winter_seedhead|A yucca-like blue-green rosette with golf-ball flower heads. Unmatched winter silhouette.
parthenium_integrifolium|Parthenium integrifolium|Wild Quinine|Asteraceae|NE,SE,MW,GP|4|8|S,P|D,M|24|48|24|24|6|9|white|SEASONAL|flat|5|||deer_resistant;winter_seedhead|Flat white heads like a native yarrow, blooming for months. Very sturdy.
allium_cernuum|Allium cernuum|Nodding Onion|Amaryllidaceae|NE,SE,MW,GP,MTN,PNW|3|8|S,P|D,M|12|18|9|9|6|8|pink|MATRIX|tuft|5|Y||deer_resistant;winter_seedhead|Nodding pink umbels above grassy tufts. Deer and rabbit proof, excellent in gravel.
allium_stellatum|Allium stellatum|Prairie Onion|Amaryllidaceae|MW,GP|3|8|S|D|12|18|9|9|7|9|pink|MATRIX|tuft|5|Y||deer_resistant;winter_seedhead|Upright starry umbels later than A. cernuum. Seedheads dry to parchment tan.
zizia_aurea|Zizia aurea|Golden Alexanders|Apiaceae|NE,SE,MW,GP|3|8|S,P|M,W|18|36|18|18|4|6|yellow|SEASONAL|umbel|5|Y|Black Swallowtail;Ozark Swallowtail|deer_resistant|The earliest yellow in a native border and a key nectar source for small spring bees.
phlox_paniculata|Phlox paniculata|Garden Phlox|Polemoniaceae|NE,SE,MW|4|8|S,P|M|36|48|24|24|7|9|pink-purple|SEASONAL|panicle|10||Phlox Moth;Hermit Sphinx|hummingbird|Choose mildew-resistant selections such as Jeana, which also draws the most butterflies.
phlox_pilosa|Phlox pilosa|Prairie Phlox|Polemoniaceae|NE,SE,MW,GP,TX|3|9|S,P|D,M|12|24|18|15|4|6|pink|MATRIX|mound|10||Phlox Moth|deer_resistant|A fragrant spring pink that weaves through short grasses. Underused and tough.
phlox_subulata|Phlox subulata|Moss Phlox|Polemoniaceae|NE,SE,MW|3|9|S|D|4|8|24|15|3|5|pink-white|MATRIX|mat|10||Phlox Moth|deer_resistant|Evergreen needle mat for edges and walls. Needs sharp drainage and no mulch.
physostegia_virginiana|Physostegia virginiana|Obedient Plant|Lamiaceae|NE,SE,MW,GP|3|9|S,P|M,W|24|48|24|24|7|9|pink|SEASONAL|spike|5|||hummingbird|Aggressively rhizomatous in rich moist soil. Use in rain gardens or choose Miss Manners.
salvia_azurea|Salvia azurea|Azure Blue Sage|Lamiaceae|MW,GP,TX,SE|4|9|S|D|36|60|24|24|8|10|sky blue|SEASONAL|spike|3||Hermit Sphinx|hummingbird;deer_resistant|The purest sky blue of autumn. Pinch it twice before July or it will lean.
tradescantia_ohiensis|Tradescantia ohiensis|Ohio Spiderwort|Commelinaceae|NE,SE,MW,GP,TX|4|9|S,P|D,M|24|36|18|18|5|7|blue|FILLER|strappy|3|Y||deer_resistant|Each flower lasts a morning but bloom continues for weeks. Cut back after flowering.
sisyrinchium_angustifolium|Sisyrinchium angustifolium|Blue-eyed Grass|Iridaceae|NE,SE,MW,FL,TX|4|9|S,P|M|8|18|9|9|4|6|blue|MATRIX|tuft|5|Y||deer_resistant|An iris relative that looks like a grass tuft with tiny blue stars. A front-of-bed staple.
callirhoe_involucrata|Callirhoe involucrata|Purple Poppy Mallow|Malvaceae|MW,GP,TX,SE|4|9|S|D|6|12|36|24|5|8|magenta|MATRIX|trailing|10|Y|Gray Hairstreak|deer_resistant|Trailing stems with electric magenta cups. A big taproot: place it once, permanently.
oenothera_macrocarpa|Oenothera macrocarpa|Missouri Evening Primrose|Onagraceae|MW,GP,TX,SW|4|8|S|D|6|12|24|18|5|8|yellow|MATRIX|trailing|10|Y|Primrose Moth|deer_resistant|Huge lemon cups on a low sprawl. Requires lean, very well drained soil.
penstemon_grandiflorus|Penstemon grandiflorus|Large-flowered Beardtongue|Plantaginaceae|MW,GP|3|8|S|D|24|40|18|18|5|6|lavender|SEASONAL|spike|8|Y||deer_resistant|A waxy blue-grey rosette and big tubular bells. Needs sand or gravel to persist.
chelone_glabra|Chelone glabra|White Turtlehead|Plantaginaceae|NE,SE,MW|3|8|P,H|M,W|24|48|24|18|8|9|white|SEASONAL|spike|5||Baltimore Checkerspot|hummingbird|The sole host of the Baltimore Checkerspot. Wants consistently moist soil in part shade.
chelone_lyonii|Chelone lyonii|Pink Turtlehead|Plantaginaceae|NE,SE|3|8|P,H|M,W|24|40|24|18|8|9|pink|SEASONAL|spike|5||Baltimore Checkerspot|hummingbird|Glossy dark leaves and hooded pink flowers. Hot Lips is a reliable selection.
lobelia_cardinalis|Lobelia cardinalis|Cardinal Flower|Campanulaceae|NE,SE,MW,GP,TX,CA,SW|3|9|S,P|M,W|24|48|18|15|7|9|scarlet|SEASONAL|spike|3||Pink-washed Looper|hummingbird|The single best hummingbird plant in eastern North America. Keep it moist; it reseeds.
lobelia_siphilitica|Lobelia siphilitica|Great Blue Lobelia|Campanulaceae|NE,SE,MW,GP|4|9|S,P|M,W|24|40|18|15|8|9|blue|SEASONAL|spike|3|||hummingbird|A bumblebee favourite for rain gardens. Short lived but self-sows into gaps.
iris_versicolor|Iris versicolor|Blue Flag Iris|Iridaceae|NE,MW|3|9|S,P|M,W|24|36|18|18|5|6|blue-violet|STRUCT|strappy|5|||winter_structure|Strong vertical blades for pond edges and rain garden bottoms. Rhizomatous.
# ---------- EASTERN WOODLAND / SHADE ----------
actaea_racemosa|Actaea racemosa|Black Cohosh|Ranunculaceae|NE,SE,MW|3|8|P,H|M|36|72|30|30|6|7|white|STRUCT|spire|5|||deer_resistant|Architectural 5 ft white bottlebrushes lighting up deep shade. Slow but permanent.
aquilegia_canadensis|Aquilegia canadensis|Eastern Red Columbine|Ranunculaceae|NE,SE,MW,GP|3|8|P,H|D,M|12|30|15|12|4|6|red-yellow|FILLER|airy|5|Y|Columbine Duskywing|hummingbird|Arrives exactly with the ruby-throated hummingbird migration. Self-sows charmingly.
geranium_maculatum|Geranium maculatum|Wild Geranium|Geraniaceae|NE,SE,MW|3|8|P,H|M|12|24|18|18|4|6|pink-lavender|MATRIX|mound|20|Y||deer_resistant|A reliable spring groundcover for dressed woodland shade, with good red fall colour.
phlox_divaricata|Phlox divaricata|Woodland Phlox|Polemoniaceae|NE,SE,MW|3|8|P,H|M|10|15|18|15|4|5|light blue|MATRIX|mound|10||Phlox Moth|deer_resistant|Fragrant sheets of pale blue with the spring ephemerals. Blue Moon is superb.
phlox_stolonifera|Phlox stolonifera|Creeping Phlox|Polemoniaceae|NE,SE|4|8|P,H|M|6|10|18|12|4|5|blue-pink|MATRIX|mat|10||Phlox Moth|deer_resistant|A true stoloniferous mat for shade: better groundcover than P. divaricata, less bloom.
tiarella_cordifolia|Tiarella cordifolia|Foamflower|Saxifragaceae|NE,SE,MW|3|8|P,H|M|6|12|18|12|4|5|white|MATRIX|mat|5|||deer_resistant;evergreen|Semi-evergreen mottled leaves with foamy white spires. Runs gently by stolon.
heuchera_villosa|Heuchera villosa|Hairy Alumroot|Saxifragaceae|NE,SE|4|9|P,H|D,M|12|24|18|15|7|9|white|MATRIX|mound|5|||deer_resistant;evergreen|The heat- and humidity-proof heuchera, with large maple-shaped semi-evergreen leaves.
heuchera_americana|Heuchera americana|American Alumroot|Saxifragaceae|NE,SE,MW|4|9|P,H|D,M|12|24|18|15|5|6|greenish|MATRIX|mound|5|||deer_resistant;evergreen|Marbled evergreen rosettes, excellent for dry shade edging and containers.
polemonium_reptans|Polemonium reptans|Jacob's Ladder|Polemoniaceae|NE,SE,MW|3|8|P,H|M|10|18|18|15|4|5|light blue|MATRIX|mound|5|||deer_resistant|Ladder-like foliage and nodding blue bells. Goes semi-dormant in late summer drought.
packera_aurea|Packera aurea|Golden Ragwort|Asteraceae|NE,SE,MW|3|8|P,H|M,W|12|30|18|15|4|6|yellow|MATRIX|mat|5|Y||deer_resistant;evergreen|Evergreen rosettes spread into a weed-suppressing carpet, then throw up yellow domes.
asarum_canadense|Asarum canadense|Wild Ginger|Aristolochiaceae|NE,SE,MW|3|7|H,P|M|4|8|12|12|4|5|maroon|MATRIX|mat|3|||deer_resistant|Big heart-shaped leaves form a lush deciduous carpet. Flowers hide at ground level.
iris_cristata|Iris cristata|Dwarf Crested Iris|Iridaceae|NE,SE,MW|3|9|P,H|M|4|8|12|10|4|5|blue|MATRIX|mat|5|||deer_resistant|A miniature iris that creeps over the soil surface. Plant rhizomes barely covered.
spigelia_marilandica|Spigelia marilandica|Indian Pink|Loganiaceae|SE,MW,TX|5|9|P,H|M|12|24|18|18|5|7|red-yellow|SEASONAL|tubular|3|||hummingbird|Scarlet tubes flaring to yellow stars: a hummingbird plant that thrives in shade.
mertensia_virginica|Mertensia virginica|Virginia Bluebells|Boraginaceae|NE,SE,MW|3|8|P,H|M|12|24|18|15|4|5|blue|FILLER|mound|5|Y||deer_resistant|A spring ephemeral: fully dormant by July, so pair it with ferns that fill the gap.
